Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
27.3,3,73.9,998.7,47,33,0.023,0.026,0.3,0.007,8
25.9,4.4,83.9,996.6,17,11,0.007,0.017,0.2,0.005,9
23.6,3.2,90,995.4,16,11,0.012,0.034,0.3,0.006,9
21.9,2,92.8,997.1,10,8,0.021,0.032,0.3,0.005,10
27.5,2.9,81.9,994.2,15,8,0.011,0.026,0.3,0.005,3
22.6,6.4,86.1,996.9,32,21,0.042,0.02,0.3,0.005,6
26.6,1.9,71.6,998.8,53,38,0.042,0.032,0.4,0.005,8
26.5,2.5,68.4,999.5,37,25,0.039,0.03,0.3,0.006,8
28.6,2.2,70.6,1000.6,25,16,0.024,0.027,0.2,0.005,4
28.6,2.1,75.9,1000.2,23,17,0.014,0.03,0.2,0.006,9
30.2,2.6,63.4,997.7,14,9,0.018,0.024,0.2,0.005,11
31.4,3.9,55,992.4,12,6,0.019,0.016,0.2,0.005,2
26.4,2.1,93,989.3,9,6,0.018,0.022,0.2,0.005,9
26.6,3.2,87.5,994.2,45,32,0.031,0.027,0.2,0.006,3
24.4,2.2,92.4,996.1,40,25,0.027,0.036,0.3,0.006,7
24.7,1.5,91.1,996.8,38,23,0.013,0.04,0.3,0.006,8
26.1,3.8,62.3,998.3,17,10,0.027,0.02,0.2,0.005,4
23.7,2.2,78.4,992.2,21,14,0.025,0.022,0.2,0.005,14
25.8,2.7,77.8,994.7,52,39,0.056,0.024,0.3,0.006,9
24.2,2.1,75.3,998.9,66,46,0.016,0.039,0.3,0.007,3
22.3,2,78.6,999.5,24,18,0.024,0.028,0.2,0.005,5
26.1,1.8,73.9,1000.1,34,22,0.034,0.028,0.4,0.006,5
22.3,3.1,90,999.5,10,6,0.024,0.02,0.4,0.005,10
22.3,1.5,96.6,1000.2,14,9,0.012,0.033,0.5,0.005,9
24.8,1.1,86,1000.6,28,17,0.01,0.041,0.5,0.006,9
23.1,2.4,96.5,997,14,8,0.014,0.029,0.4,0.006,3
24.7,3.1,83.4,1000.5,62,45,0.037,0.032,0.6,0.007,12
25.9,3,71.8,997.4,39,27,0.03,0.022,0.5,0.005,4
25.4,2.5,71.4,1001.2,11,7,0.033,0.022,0.4,0.005,8
24.6,2.8,66.8,1005.3,8,5,0.022,0.019,0.4,0.005,3
25.1,2.2,65.3,1006.3,16,9,0.027,0.024,0.4,0.005,4
25.2,1.8,71.9,1005.2,22,14,0.025,0.032,0.5,0.005,11
24.6,1.9,71.6,1004.6,18,13,0.03,0.024,0.4,0.005,4
24.1,1.5,72.5,1003.9,26,18,0.026,0.038,0.5,0.005,19
23.1,2.5,73.6,1001.9,18,11,0.015,0.031,0.5,0.005,8
19.1,3.4,99.8,993.1,7,4,0.02,0.022,0.4,0.004,5
22.4,2.5,79.4,998.3,14,9,0.024,0.026,0.4,0.005,8
23.8,2.1,76,1002.7,24,17,0.026,0.034,0.5,0.006,10
25.2,1.8,66.9,1002.1,30,22,0.035,0.028,0.4,0.006,7
22.4,1.5,60.6,1000.6,23,14,0.03,0.03,0.4,0.005,3
23.3,1.8,61.1,1003,32,21,0.029,0.031,0.4,0.005,11
21.3,2.1,74.9,1003.6,34,22,0.014,0.044,0.5,0.005,10
23.1,2.3,60.9,1004.9,19,12,0.023,0.026,0.4,0.005,7
23.1,2.2,64.9,1003.5,25,17,0.042,0.02,0.4,0.005,11
21.3,2.1,43.8,1005.5,35,20,0.031,0.035,0.3,0.006,6
20.2,1.5,52.3,1006.3,42,19,0.012,0.039,0.3,0.005,9
20.6,2,56.5,1007.6,20,12,0.014,0.033,0.3,0.005,7
21.4,1.7,55,1004.5,25,16,0.018,0.04,0.3,0.006,8
21.6,2,52.5,1004.1,28,18,0.027,0.037,0.3,0.005,5
21.4,2,57.5,1008.7,25,18,0.021,0.037,0.3,0.005,13
23,2.5,52.1,1007,20,14,0.025,0.03,0.2,0.004,5
20.3,2.6,77.9,999.7,14,10,0.02,0.026,0.2,0.005,4
22.2,1.7,66.9,1003.2,19,14,0.022,0.036,0.3,0.006,12
21,2.6,78.1,1006.3,22,14,0.015,0.032,0.3,0.005,9
21.4,2.6,79,1006.7,28,17,0.023,0.031,0.3,0.005,9
19.4,1.3,99,1003.7,39,23,0.009,0.036,0.3,0.005,12
18.9,3.1,72.5,1006.9,18,10,0.016,0.019,0.3,0.005,8
19.2,2.6,68.6,1006.8,23,13,0.019,0.025,0.3,0.005,17
18.1,2.2,89,999.7,31,18,0.01,0.037,0.4,0.005,18
16.9,3.4,62,1009.6,18,12,0.017,0.023,0.3,0.005,9
16.6,1.7,57,1008.3,17,11,0.023,0.024,0.2,0.004,19
16.1,2.4,64.8,1011.6,28,18,0.015,0.036,0.3,0.005,14
16.7,1.5,61.5,1011.9,32,22,0.015,0.049,0.5,0.005,9
19,3.6,63.3,1011.6,38,22,0.02,0.035,0.4,0.005,12
19.4,3.1,57.4,1012.9,26,18,0.026,0.023,0.3,0.004,7
17.4,4.7,51.9,1003.1,20,10,0.025,0.015,0.2,0.004,15
13.8,2.2,51.8,1007.3,19,11,0.016,0.021,0.3,0.004,10
13.8,2.4,60.4,1007.6,34,20,0.024,0.041,0.4,0.005,11
13.2,3.1,53.8,1008.6,45,16,0.02,0.03,0.3,0.005,8
13.6,1.9,53.8,1012.7,38,17,0.013,0.04,0.4,0.005,11
15.5,1.7,68.9,1013.6,46,22,0.009,0.048,0.5,0.006,6
14.4,2.6,97.8,1006.6,33,24,0.01,0.038,0.5,0.005,9
13.8,3.4,92.8,1007,15,10,0.01,0.029,0.4,0.004,17
13.6,3,69,1010.1,17,11,0.017,0.023,0.3,0.004,10
13.8,2.1,67.8,1010.7,34,21,0.008,0.044,0.5,0.005,13
15.1,1.8,78,1010.1,46,29,0.008,0.049,0.6,0.006,7
16.5,1.9,81.1,1009.9,53,32,0.01,0.046,0.6,0.007,5
10.7,3,35.3,1013.2,47,15,0.021,0.024,0.3,0.005,18
10.2,1.4,43.4,1015.7,68,27,0.007,0.05,0.5,0.005,8
12.1,1.7,46.4,1016,67,35,0.005,0.069,0.8,0.007,7
14.2,1.5,45.8,1013.8,69,39,0.004,0.079,1,0.008,13
15,2.4,62.1,1008.2,52,28,0.007,0.059,0.7,0.007,14
17.3,2.2,63.4,1002.8,43,26,0.015,0.04,0.4,0.006,20
9.3,3.1,40.9,1008.6,43,14,0.017,0.023,0.3,0.005,64
11.3,1.9,60.5,1011.6,33,15,0.008,0.041,0.5,0.006,40
12.4,1.9,65.6,1010.4,37,20,0.009,0.046,0.6,0.006,36
13.5,2.1,61,1010.2,65,32,0.018,0.039,0.6,0.008,26
9.8,1.9,52.5,1014.9,59,22,0.007,0.042,0.5,0.006,36
9.9,1.4,61.9,1014.3,71,35,0.003,0.05,0.7,0.007,13
10,2.3,46.3,1013.4,63,28,0.018,0.03,0.4,0.006,1
9.4,1.7,49.9,1012.2,60,30,0.01,0.051,0.7,0.007,40
9.4,1.9,67.4,1006.2,76,43,0.007,0.058,0.8,0.007,49
6,5.4,50.6,1003.8,46,17,0.023,0.014,0.3,0.005,41
-0.2,3.7,38.5,1013,92,8,0.022,0.016,0.2,0.004,31
4.2,2.2,54,1014.5,33,16,0.011,0.038,0.4,0.006,42
4.1,2.1,38.3,1018.9,35,18,0.013,0.031,0.4,0.006,16
6.2,2.3,75.5,1014,34,24,0.016,0.028,0.5,0.005,61
5,2.2,53.4,1017.6,36,22,0.016,0.031,0.4,0.005,35
5.6,1.6,55.4,1017.1,57,30,0.008,0.051,0.7,0.006,35
7.9,1.8,61.9,1014.4,69,35,0.006,0.059,0.9,0.007,36
11.3,2.8,62.5,1012.3,64,31,0.007,0.056,0.7,0.008,32
11,1.9,90.9,1013.5,48,27,0.006,0.049,0.6,0.006,14
9,2,80,1015.1,67,35,0.01,0.033,0.6,0.006,1
9.8,1.3,59.8,1010.3,71,37,0.003,0.044,0.7,0.007,42
10.2,4.2,56,1007.5,32,16,0.014,0.029,0.4,0.006,43
11,2.8,58.8,1008.3,31,17,0.015,0.035,0.5,0.005,39
