Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
28.6,3.7,67,998.1,38,29,0.029,0.02,0.3,0.007,0
27,2.3,72.1,999.6,34,26,0.023,0.018,0.3,0.006,0
26.6,2.2,61.5,998.4,27,20,0.035,0.02,0.3,0.006,0
25.5,2.5,69.8,995.4,37,26,0.04,0.024,0.4,0.007,0
25.9,1.9,62.9,1001.7,31,22,0.035,0.027,0.4,0.006,0
24.8,2.2,68.5,1001.9,31,20,0.03,0.026,0.4,0.007,0
21,2.1,76.4,1000.2,37,24,0.02,0.027,0.6,0.006,0
22.1,1.6,61.1,1011.3,34,22,0.019,0.037,0.6,0.007,0
22.8,2.2,48.5,1010.4,27,17,0.022,0.033,0.5,0.006,0
22.6,1.5,62.1,1004.3,47,31,0.027,0.037,0.6,0.007,0
23.9,1.8,48.4,1005.3,40,22,0.031,0.043,0.6,0.007,0
23.4,2.5,56.5,997.6,34,19,0.032,0.032,0.5,0.007,0
18,1.9,49.4,1013.3,29,16,0.013,0.041,0.5,0.006,0
18.7,1.9,57.5,1010.8,33,17,0.014,0.044,0.5,0.007,0
20.1,2.3,61.1,1001.8,55,31,0.02,0.038,0.5,0.007,0
15,2.5,66.4,1009.7,33,17,0.015,0.038,0.5,0.007,0
17.1,1.6,64.6,1010.3,51,30,0.013,0.05,0.7,0.008,0
17.9,1.8,62.1,1009.5,57,36,0.019,0.057,0.7,0.008,0
17.5,1.8,71,1009.5,66,42,0.015,0.059,0.7,0.009,0
18.7,1.7,64.8,1010.4,60,27,0.019,0.049,0.6,0.008,0
18.1,2,67.4,1007.2,98,47,0.023,0.044,0.7,0.008,0
17.5,2.2,64.8,1010.3,91,49,0.011,0.039,0.6,0.007,0
17.5,2.4,69.1,1008.7,37,29,0.011,0.041,0.5,0.005,0
15,2.4,66.8,1008.6,34,17,0.009,0.039,0.5,0.004,0
7,1.6,48.4,1015.3,42,23,0.005,0.045,0.6,0.003,0
10.8,1.6,60.5,1012.6,55,29,0.009,0.046,0.7,0.003,0
11.8,1.4,67.6,1018.4,74,44,0.015,0.051,0.8,0.003,0
13.5,4.7,63.9,1015.4,51,31,0.019,0.032,0.5,0.004,0
10,1.8,80,1013.3,46,30,0.008,0.031,0.6,0.003,0
11.6,1.6,72.4,1017.7,40,24,0.004,0.042,0.7,0.004,0
12.2,2.8,85.1,1006.7,28,17,0.002,0.034,0.6,0.003,0
9.8,1.5,72.6,1013.6,36,22,0.009,0.032,0.6,0.002,0
9.2,1.8,55.9,1016.8,48,33,0.01,0.038,0.7,0.001,0
-2.7,3.7,63.8,1005.7,32,23,0.024,0.017,0.4,0.004,0
-2.8,2.6,59.1,1014.6,37,25,0.021,0.023,0.4,0.005,0
0.1,2.1,70.8,1019.1,46,29,0.007,0.041,0.6,0.005,0
4.1,2,69.1,1013.7,39,28,0.01,0.035,0.7,0.006,0
1.3,1.2,46.4,1018,32,19,0.011,0.034,0.5,0.005,0
5.2,1.4,50.5,1013.1,45,30,0.005,0.046,0.7,0.007,0
1.5,1.5,56.9,1018.7,63,44,0.003,0.052,0.8,0.007,0
-0.8,2,46.3,1010.5,30,19,0.018,0.022,0.2,0.006,0
5.7,2,76.9,1012,53,37,0.007,0.044,0.5,0.006,0
-2.7,2.3,39.4,1016.9,29,18,0.006,0.022,0.3,0.005,1
-1.7,1.8,54.3,1014.7,50,31,0.002,0.04,0.5,0.006,1
-3.4,2.5,51.8,1013.9,37,23,0.006,0.022,0.3,0.005,1
-3.3,2,49.8,1012.6,34,22,0.006,0.026,0.3,0.005,1
-2.1,2.1,57.1,1014.3,35,22,0.005,0.027,0.3,0.005,0
-5.2,2.5,46,1013.3,46,30,0.003,0.033,0.4,0.004,1
-4.5,2,63,1009.5,38,25,0.004,0.031,0.4,0.004,1
-3.4,1.7,52.1,1011,43,26,0.004,0.034,0.4,0.005,1
-0.4,1.8,52.3,1010.9,52,40,0.005,0.048,0.5,0.006,1
-6.3,4.8,59.8,1003.9,54,42,0.019,0.023,0.4,0.004,1
-10.5,1.8,43.6,1019.7,36,26,0.014,0.027,0.3,0.004,1
-7.1,1.8,44.3,1017.9,50,38,0.01,0.036,0.5,0.005,1
-7.6,2.6,40.5,1021.1,52,37,0.013,0.03,0.4,0.005,1
-11.5,4,42,1019.1,30,15,0.023,0.012,0.2,0.004,0
-3.3,2.3,64.5,1016.3,77,50,0.004,0.053,0.7,0.007,1
-0.5,1.6,51.5,1018.2,53,35,0.005,0.053,0.7,0.006,1
